customer_id,status,churn_label,churn_category,churn_reason,gender,age,senior_citizen,married,num_dependents,zip_code,account_id,tenure_months,num_referrals,has_internet_service,internet_type,has_unlimited_data,has_phone_service,has_multiple_lines,has_premium_tech_support,has_online_security,has_online_backup,has_device_protection,contract_type,paperless_billing,payment_method,avg_long_distance_fee_monthly,total_long_distance_fee,avg_gb_download_monthly,stream_tv,stream_movie,stream_music,total_monthly_fee,total_charges_quarter,total_refunds,area_id,population,city
0239-OXEXL,Stayed,No,,,Female,37,No,No,0,94619,BFVJ-LKHRD,46,0,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Month-to-Month,No,Credit Card,43.27,1990.42,21,No,No,No,84.25,3847.6,0.0,1007,24518,Oakland
0244-LGNFY,Stayed,No,,,Female,35,No,Yes,1,94960,BVTA-MWIKK,72,4,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,30.0,2160.0,19,Yes,Yes,Yes,92.65,6733.0,0.0,1050,16849,San Anselmo
0254-FNMCI,Stayed,No,,,Female,19,No,No,0,90241,ASKD-HPTRN,72,0,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,41.91,3017.52,73,Yes,Yes,Yes,109.9,7624.2,0.0,72,40152,Downey
0254-WWRKD,Stayed,No,,,Female,44,No,Yes,3,95925,ENZE-ZWRWT,67,1,Yes,Cable,Yes,Yes,No,No,No,Yes,No,One Year,No,Credit Card,46.9,3142.3,28,No,No,No,50.55,3431.75,0.0,1466,262,Challenge
0257-KXZGU,Stayed,No,,,Female,29,No,Yes,1,95051,HHQC-UBCYU,32,9,Yes,DSL,Yes,Yes,Yes,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,33.28,1064.96,51,No,No,Yes,62.45,2045.55,0.0,1083,52986,Santa Clara
0257-ZESQC,Churned,Yes,Attitude,Attitude of support person,Female,80,Yes,Yes,0,92571,HUQT-CQZCW,27,2,Yes,Cable,Yes,Yes,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,7.02,189.54,25,No,No,No,75.2,1929.35,0.0,512,26357,Perris
0264-CNITK,Stayed,No,,,Female,45,No,Yes,2,96106,IOJG-OBBTL,71,1,No,None,No,Yes,No,No,No,No,No,Two Year,No,Bank Withdrawal,31.03,2203.13,0,No,No,No,20.1,1389.6,0.0,1593,88,Clio
0266-GMEAO,Stayed,No,,,Male,43,No,Yes,1,93436,IQZD-JZZPZ,72,1,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,15.94,1147.68,13,Yes,Yes,Yes,114.3,8058.55,0.0,713,51737,Lompoc
0268-QKIWO,Churned,Yes,Attitude,Attitude of support person,Female,41,No,No,0,95664,BTHX-GPBHH,3,0,No,None,No,Yes,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,24.63,73.89,0,No,No,No,19.75,58.85,0.0,1377,1173,Pilot Hill
0270-THENM,Stayed,No,,,Male,62,No,Yes,2,91345,BFWR-SBYVP,72,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,28.37,2042.64,18,No,No,No,69.85,5102.35,25.24,207,17112,Mission Hills
0281-CNTZX,Stayed,No,,,Male,56,No,Yes,0,94060,ACOG-YBIQX,63,2,No,None,No,Yes,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,38.36,2416.68,0,No,No,No,19.95,1234.8,0.0,878,2055,Pescadero
0285-INHLN,Stayed,No,,,Male,54,No,Yes,6,93603,CONV-ESGRR,27,5,Yes,DSL,Yes,Yes,No,No,Yes,Yes,No,Month-to-Month,Yes,Credit Card,36.19,977.13,53,No,No,No,54.75,1510.3,0.0,769,273,Badger
0289-IVARM,Stayed,No,,,Female,57,No,No,0,93648,DSAA-NEXTT,35,0,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,44.81,1568.35,20,No,No,No,60.55,1982.6,0.0,803,12587,Parlier
0295-PPHDO,Churned,Yes,Competitor,Competitor had better devices,Male,56,No,No,0,91744,FKHL-YHUMS,1,0,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,5.59,5.59,2,Yes,Yes,Yes,95.45,95.45,0.0,257,84965,La Puente
0298-XACET,Stayed,No,,,Male,35,No,Yes,2,95916,AMNQ-VZXKW,52,1,Yes,DSL,Yes,No,No,Yes,No,Yes,Yes,Two Year,No,Credit Card,0.0,0.0,17,Yes,No,No,50.2,2554.0,27.01,1459,1279,Berry Creek
0301-FIDRB,Stayed,No,,,Female,61,No,Yes,3,95439,DJRL-HLIXM,72,8,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,0.0,0.0,22,Yes,Yes,Yes,63.8,4684.3,0.0,1245,476,Fulton
0305-SQECB,Stayed,No,,,Female,54,No,No,1,90248,DZYM-PSAXC,11,0,Yes,DSL,No,No,No,Yes,Yes,No,No,One Year,Yes,Credit Card,0.0,0.0,17,No,No,No,36.05,402.6,0.0,76,9960,Gardena
0308-GIQJT,Stayed,No,,,Male,80,Yes,No,0,92126,FYNO-DIHWI,71,0,Yes,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,No,One Year,No,Bank Withdrawal,6.1,433.1,9,Yes,Yes,No,105.75,7382.85,0.0,373,74232,San Diego
0308-IVGOK,Stayed,No,,,Female,23,No,No,0,92703,CXKH-MVKVG,11,0,Yes,DSL,Yes,No,No,Yes,No,Yes,Yes,One Year,Yes,Credit Card,0.0,0.0,59,No,No,No,40.4,422.6,0.0,563,70011,Santa Ana
0310-SUCIN,Stayed,No,,,Female,50,No,Yes,0,93522,JHRC-MTTZU,71,2,Yes,Cable,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,23.06,1637.26,6,Yes,Yes,Yes,84.8,6046.1,0.0,742,64,Darwin
0310-VQXAM,Stayed,No,,,Male,56,No,No,0,92404,IZZY-RXUIO,9,0,No,None,No,Yes,No,No,No,No,No,Month-to-Month,No,Credit Card,40.74,366.66,0,No,No,No,19.85,178.8,0.0,479,53636,San Bernardino
0314-TKOSI,Stayed,No,,,Female,29,No,No,0,91784,DGOT-FZWZP,6,0,Yes,Cable,No,Yes,No,No,Yes,Yes,No,Month-to-Month,No,Mailed Check,6.98,41.88,30,No,No,No,55.15,322.9,0.0,279,23331,Upland
0319-QZTCO,Joined,No,,,Female,25,No,Yes,2,95401,DEDZ-KMJAN,3,9,Yes,DSL,Yes,Yes,No,No,No,Yes,No,Month-to-Month,Yes,Credit Card,11.47,34.41,51,Yes,No,No,58.7,168.6,0.0,1221,36125,Santa Rosa
0322-CHQRU,Churned,Yes,Competitor,Competitor had better devices,Male,63,No,No,0,93591,HIFH-WTXHG,2,0,Yes,DSL,Yes,Yes,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,25.49,50.98,9,No,No,No,45.35,89.5,0.0,766,6787,Palmdale
0325-XBFAC,Churned,Yes,Competitor,Competitor offered more data,Male,44,No,No,0,95546,GHOE-KQFPN,8,0,Yes,Fiber Optic,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,19.49,155.92,10,Yes,Yes,Yes,94.7,740.3,0.0,1301,3041,Hoopa
0328-GRPMV,Churned,Yes,Competitor,Competitor had better devices,Female,43,No,No,0,95527,BSFO-TTIGZ,1,0,Yes,Fiber Optic,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,17.37,17.37,25,No,No,No,70.1,70.1,0.0,1293,485,Burnt Ranch
0334-ZFJSR,Stayed,No,,,Female,41,No,Yes,0,92123,AAJU-HMJLK,55,0,Yes,Cable,No,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Credit Card,35.38,1945.9,13,No,No,No,66.05,3462.1,44.53,371,25232,San Diego
0336-KXKFK,Stayed,No,,,Male,43,No,No,0,93453,EOID-HJLQW,72,0,Yes,DSL,Yes,No,No,Yes,Yes,No,Yes,Two Year,Yes,Credit Card,0.0,0.0,6,Yes,Yes,Yes,61.2,4390.25,0.0,725,2687,Santa Margarita
0347-UBKUZ,Stayed,No,,,Female,46,No,No,0,94404,JAEL-MLWTO,15,0,No,None,No,Yes,No,No,No,No,No,Month-to-Month,No,Mailed Check,2.74,41.1,0,No,No,No,19.9,320.45,0.0,924,31882,San Mateo
0356-ERHVT,Stayed,No,,,Male,54,No,Yes,0,95062,HRZZ-NCRAA,11,1,Yes,Cable,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,12.95,142.45,6,No,No,No,45.9,521.9,0.0,1086,36631,Santa Cruz
0361-HJRDX,Stayed,No,,,Female,38,No,No,0,91403,BFBH-OMPIQ,68,0,Yes,DSL,No,No,No,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,0.0,0.0,28,Yes,Yes,Yes,64.35,4539.6,0.0,223,22085,Sherman Oaks
0362-ZBZWJ,Churned,Yes,Attitude,Attitude of service provider,Male,46,No,No,0,95686,AJHQ-UGVZV,36,0,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,24.66,887.76,22,No,Yes,Yes,84.9,3067.2,0.0,1395,1472,Thornton
0366-NQSHS,Joined,No,,,Male,42,No,No,0,95932,FRFU-HIOLG,2,0,No,None,No,Yes,No,No,No,No,No,Month-to-Month,No,Credit Card,44.34,88.68,0,No,No,No,19.35,46.35,0.0,1470,7503,Colusa
0374-AACSZ,Joined,No,,,Female,63,No,No,0,93534,CKLX-YHHDZ,1,0,Yes,DSL,No,Yes,No,No,Yes,No,No,Month-to-Month,No,Bank Withdrawal,38.33,38.33,24,No,No,No,50.15,50.15,0.0,750,35109,Lancaster
0374-IOEGQ,Joined,No,,,Female,62,No,No,0,93926,ICWM-ILKLF,3,0,Yes,Cable,Yes,Yes,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,15.59,46.77,27,No,No,No,44.6,122.7,0.0,845,9023,Gonzales
0376-YMCJC,Churned,Yes,Competitor,Competitor offered higher download speeds,Male,21,No,No,0,94949,GJRN-EGNXG,23,0,Yes,Cable,Yes,Yes,Yes,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,38.69,889.87,69,Yes,No,Yes,90.6,1943.2,4.73,1044,13361,Novato
0377-JBKKT,Stayed,No,,,Male,21,No,Yes,3,95020,HZJA-UDLJA,22,9,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Credit Card,42.58,936.76,82,No,No,Yes,57.95,1271.8,0.0,1071,49968,Gilroy
0378-TOVMS,Churned,Yes,Competitor,Competitor had better devices,Female,20,No,No,0,95385,AYBO-DMVWT,3,0,Yes,Fiber Optic,Yes,Yes,No,Yes,No,No,No,Month-to-Month,No,Bank Withdrawal,10.6,31.8,73,No,Yes,Yes,85.8,272.2,0.0,1218,274,Vernalis
0384-LPITE,Stayed,No,,,Male,38,No,No,0,90041,HLWP-ZXSZW,40,0,Yes,Cable,Yes,No,No,No,Yes,Yes,Yes,One Year,No,Credit Card,0.0,0.0,19,Yes,Yes,Yes,62.05,2511.55,0.0,38,27866,Los Angeles
0384-RVBPI,Stayed,No,,,Male,64,No,No,0,95380,GWRT-NSIIF,20,0,Yes,DSL,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,12.6,252.0,29,No,Yes,Yes,64.4,1398.6,0.0,1215,40545,Turlock
0386-CWRGM,Stayed,No,,,Female,61,No,Yes,1,90210,CFBU-KXHVB,46,9,No,None,No,Yes,No,No,No,No,No,Two Year,No,Credit Card,47.5,2185.0,0,No,No,No,19.4,967.85,0.0,63,21397,Beverly Hills
0394-YONDK,Stayed,No,,,Male,28,No,Yes,3,92025,AKHG-BKCPI,70,0,No,None,No,Yes,Yes,No,No,No,No,Two Year,No,Credit Card,1.22,85.4,0,No,No,No,25.15,1790.15,0.0,322,49281,Escondido
0397-GZBBC,Churned,Yes,Price,Price too high,Male,70,Yes,Yes,0,93665,CRRL-UTCQZ,59,0,Yes,Fiber Optic,Yes,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,10.78,636.02,15,Yes,Yes,No,93.85,5574.75,8.13,814,343,South Dos Palos
0401-WDBXM,Stayed,No,,,Male,22,No,Yes,3,95118,EQLQ-FIIDR,72,4,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,8.33,599.76,59,Yes,Yes,Yes,105.55,7542.25,0.0,1099,31926,San Jose
